InputString,Actual,Predicted_Interpolation,Correct_Interpolation,InTop10_Interpolation,InWordCloud_Interpolation,Runtime_Interpolation,Predicted_Backoff,Correct_Backoff,InTop10_Backoff,InWordCloud_Backoff,Runtime_Backoff
u always need,that,to,FALSE,FALSE,TRUE,0.420000000000073,to,FALSE,FALSE,TRUE,0.390000000000327
we are looking,forward,for,FALSE,TRUE,TRUE,0.219999999999345,for,FALSE,TRUE,TRUE,0.0500000000001819
console for too long those,addictive,who,FALSE,FALSE,FALSE,0.280000000000655,who,FALSE,FALSE,FALSE,0.269999999999527
 on the game,moe,and,FALSE,FALSE,FALSE,0.25,in,FALSE,FALSE,FALSE,0.140000000000327
school or,work,a,FALSE,FALSE,TRUE,0.230000000000473,a,FALSE,FALSE,TRUE,0.220000000000255
the state ordered the,investigation,first,FALSE,FALSE,TRUE,0.469999999999345,first,FALSE,FALSE,TRUE,0.470000000000255
appreciated but i,couldnt,dont,FALSE,FALSE,TRUE,0.270000000000437,dont,FALSE,FALSE,TRUE,0.110000000000582
and says  on the,back,of,FALSE,FALSE,TRUE,0.5600000000004,side,FALSE,FALSE,TRUE,0.0700000000006185
updated,nov,and,FALSE,FALSE,FALSE,0.139999999999418,and,FALSE,FALSE,FALSE,0.119999999999891
layer of paper towels,to,the,FALSE,TRUE,TRUE,0.25,the,FALSE,TRUE,TRUE,0.25
if the angels,keep,and,FALSE,FALSE,FALSE,0.270000000000437,and,FALSE,FALSE,FALSE,0.260000000000218
agreed fully,with,support,FALSE,FALSE,FALSE,0.219999999999345,support,FALSE,FALSE,FALSE,0.219999999999345
the jaws that bite the,claws,first,FALSE,FALSE,FALSE,0.5600000000004,first,FALSE,FALSE,FALSE,0.449999999999818
of the,wide,most,FALSE,FALSE,FALSE,0.509999999999309,year,FALSE,FALSE,FALSE,0.110000000000582
indian ocean tsunami killed,more,in,FALSE,FALSE,FALSE,0.260000000000218,in,FALSE,FALSE,FALSE,0.269999999999527
not long ago my daughter,made,and,FALSE,FALSE,FALSE,0.260000000000218,and,FALSE,FALSE,FALSE,0.140000000000327
cause i,want,got,FALSE,FALSE,TRUE,0.25,got,FALSE,FALSE,FALSE,0.109999999999673
