InputString,Actual,Predicted_Interpolation,Correct_Interpolation,InTop10_Interpolation,InWordCloud_Interpolation,Runtime_Interpolation,Predicted_Backoff,Correct_Backoff,InTop10_Backoff,InWordCloud_Backoff,Runtime_Backoff
brand new songs,for,on,FALSE,TRUE,TRUE,0.25,on,FALSE,TRUE,TRUE,0.260000000000218
scenarios he lies,to,lies,FALSE,FALSE,FALSE,0.230000000000473,lies,FALSE,FALSE,FALSE,0.25
background came from a x,layout,piece,FALSE,FALSE,FALSE,0.239999999999782,piece,FALSE,FALSE,FALSE,0.139999999999418
command of the offense,at,and,FALSE,FALSE,FALSE,0.289999999999964,and,FALSE,FALSE,FALSE,0.260000000000218
is the,worst,best,FALSE,FALSE,TRUE,0.4399999999996,best,FALSE,FALSE,TRUE,0.0799999999999272
follow so that you,can,can,TRUE,TRUE,TRUE,0.280000000000655,can,TRUE,TRUE,TRUE,0.0399999999999636
tonight really enjoyed,your,the,FALSE,FALSE,FALSE,0.270000000000437,the,FALSE,FALSE,FALSE,0.25
announced a new program attached,to,to,TRUE,TRUE,TRUE,0.279999999999745,to,TRUE,TRUE,TRUE,0.270000000000437
both confidence and passion,something,for,FALSE,FALSE,FALSE,0.279999999999745,for,FALSE,FALSE,FALSE,0.119999999999891
miss you already and,i,the,FALSE,TRUE,TRUE,0.360000000000582,the,FALSE,TRUE,TRUE,0.339999999999236
make me smile,no,on,FALSE,FALSE,FALSE,0.229999999999563,on,FALSE,FALSE,FALSE,0.220000000000255
np mr jones were gonna,be,be,TRUE,TRUE,TRUE,0.25,be,TRUE,TRUE,TRUE,0.230000000000473
till no,longer,one,FALSE,TRUE,TRUE,0.230000000000473,one,FALSE,TRUE,TRUE,0.219999999999345
in a thousand years archeologist,will,the,FALSE,FALSE,FALSE,0.280000000000655,the,FALSE,FALSE,FALSE,0.269999999999527
in my,office,life,FALSE,FALSE,TRUE,0.230000000000473,life,FALSE,FALSE,TRUE,0.0900000000001455
actors and background extras,with,the,FALSE,FALSE,FALSE,0.229999999999563,the,FALSE,FALSE,FALSE,0.25
risks you cant steal second,base,half,FALSE,TRUE,TRUE,0.279999999999745,half,FALSE,TRUE,TRUE,0.25
